Ticker,Beta
MTDR,3.552022
DVN,2.359958
TSLA,2.247148
HAL,2.191908
EXTR,2.111648
FCX,2.041825
ETSY,2.017974
CNQ,2.014783
FANG,1.987556
CROX,1.940546
PLUG,1.933978
DISH,1.817836
SBNY,1.785343
ON,1.780504
FOXF,1.776011
PARA,1.761493
NVDA,1.736514
CIVI,1.724161
ZBRA,1.714828
LPX,1.698237
TPX,1.681645
PII,1.673349
OKE,1.667473
EXPE,1.66367
NUE,1.650881
AMD,1.648116
MTCH,1.608762
WBD,1.606982
MCHP,1.58797
AMAT,1.581057
MAR,1.578638
NXPI,1.576417
WDC,1.568268
AEIS,1.56412
ALB,1.562932
MOS,1.55617
C,1.554787
BBY,1.552558
VLO,1.55133
TER,1.538541
MELI,1.533702
EOG,1.519184
DKS,1.518147
LRCX,1.516764
ALGN,1.513999
TRMB,1.513307
ENPH,1.512616
TPR,1.506569
AX,1.499827
SEDG,1.498444
KFY,1.49637
CR,1.493259
STLD,1.486
PH,1.484272
BA,1.482198
QRVO,1.474593
AMRC,1.471482
UFPI,1.459384
ACHC,1.453854
ADSK,1.453854
AYI,1.445558
LAMR,1.432077
GS,1.424127
WAL,1.42289
EWBC,1.419633
PXD,1.418942
IQV,1.409609
TRIP,1.408572
KRG,1.408226
SNV,1.406984
AGCO,1.401659
MRVL,1.39993
FSLR,1.398548
PRU,1.393708
TDG,1.391634
BAC,1.389561
VICR,1.376425
NWSA,1.374006
EMR,1.366747
ULTA,1.361216
ENS,1.351659
KLAC,1.349809
CFG,1.348081
LULU,1.346007
CMG,1.341859
OLED,1.341168
OZK,1.339785
ADBE,1.336329
MS,1.335753
CMC,1.333218
HWC,1.332181
ITRI,1.330798
GLNCY,1.328828
SRC,1.32665
TEL,1.324576
EBAY,1.318354
WBS,1.318008
SWKS,1.316972
TECK,1.309966
PFG,1.30982
DIS,1.309713
AAPL,1.30833
OPCH,1.307169
MU,1.305565
LFUS,1.304873
ISRG,1.300034
MTG,1.298651
COP,1.294849
BLK,1.290356
PDCO,1.288973
FL,1.286208
KEY,1.268233
NFLX,1.261666
LBTYA,1.26132
LBTYK,1.26132
WIRE,1.26132
VECO,1.257172
DRI,1.256826
CMA,1.25
APH,1.247925
WDAY,1.246111
FITB,1.245765
SF,1.234358
HALO,1.226062
WTFC,1.224412
QCOM,1.223988
RF,1.218112
ACN,1.217421
META,1.209816
AXP,1.206705
POWI,1.204356
CSX,1.203249
LYB,1.200483
GE,1.198755
TECH,1.189077
AMZN,1.188385
INTU,1.184647
REG,1.184647
NTAP,1.183546
TSM,1.181354
WMB,1.179744
AN,1.178707
CRM,1.178015
SRCL,1.175941
LECO,1.175311
WFC,1.171102
IPG,1.16972
VWDRY,1.168449
ASML,1.168067
AMCX,1.1673
ABCB,1.165917
MAT,1.162806
ZD,1.158658
CATY,1.157621
ITW,1.154856
ADI,1.151054
SIEGY,1.149732
GWW,1.145523
AIT,1.143104
ANET,1.141375
CVX,1.136536
ZION,1.135153
FTNT,1.134462
PNFP,1.133425
PANW,1.133079
CHTR,1.131351
ILMN,1.13066
FAST,1.129623
AVGO,1.128931
DXCM,1.123401
HBAN,1.123401
SPGI,1.121715
EME,1.120981
PNC,1.117525
UNP,1.116874
FNB,1.115451
PTC,1.109574
NKE,1.106463
STX,1.101659
JPM,1.09955
TFC,1.097476
GMED,1.090909
UPS,1.090217
SNPS,1.082613
CTSH,1.077773
DE,1.077428
MA,1.071897
PFBC,1.07086
ETN,1.067404
RJF,1.06639
CMI,1.063601
ODFL,1.063256
MLI,1.061873
HON,1.056688
SQM,1.055651
CMCSA,1.053923
UNM,1.052886
FHI,1.050812
PCTY,1.050466
UBSI,1.049446
LOW,1.047701
CDNS,1.046318
TGT,1.04459
XOM,1.044244
GOOG,1.042862
GOOGL,1.042862
STZ,1.040096
SIRI,1.037331
RGEN,1.031455
FFIV,1.02385
HOLX,1.023505
ORCL,1.023159
KEYS,1.022468
LVMUY,1.01948
EW,1.013135
ROST,1.013135
HZNP,1.011406
ENSG,1.011061
ZBH,1.010715
NOW,1.00311
ASB,1.002073
NRG,1.002073
GEF,1.000691
USB,0.998616
BANR,0.997234
PLD,0.991355
NEP,0.986864
TXN,0.985136
MMM,0.982371
SBUX,0.981679
BKE,0.981334
EXLS,0.980297
XRAY,0.977869
DECK,0.977531
SAP,0.975171
SBGSY,0.971352
CRUS,0.967853
CF,0.964051
CSCO,0.963359
PAYX,0.963359
FCNCA,0.956792
IEX,0.9561
V,0.952989
TXRH,0.952298
SYK,0.945385
CIEN,0.944348
KMI,0.94262
SCHW,0.935015
JNPR,0.931558
HD,0.928447
TAP,0.927065
RS,0.926719
IRM,0.926374
PKG,0.925656
PRGS,0.923608
AON,0.921534
DGX,0.921534
TJX,0.916004
PCAR,0.913238
SONY,0.912528
FANUY,0.902937
HUBB,0.902523
MSFT,0.899066
INTC,0.89319
CSL,0.879363
SRPT,0.878326
TTE,0.872421
OMC,0.869294
BPOP,0.865491
VEEV,0.862772
LIN,0.862033
ELV,0.860352
ONB,0.857587
WSO,0.856204
STE,0.852351
TSCO,0.847217
FIS,0.837193
ORLY,0.835119
VRSK,0.830912
FULT,0.830279
ADM,0.829588
MNST,0.826132
ADP,0.825095
J,0.823712
FMC,0.823305
HSIC,0.822675
VALE,0.821367
BHP,0.820473
MTB,0.818181
FFIN,0.81749
DLTR,0.805046
EA,0.805046
PM,0.797787
WBA,0.793985
CASY,0.791911
DHR,0.791565
GD,0.779467
COST,0.773245
NXGN,0.773245
IBM,0.770826
TMO,0.770401
BSX,0.768752
AKAM,0.764949
MRTX,0.764604
MUSA,0.761493
SRE,0.756653
MAA,0.751383
RTX,0.733494
T,0.718285
INCY,0.711026
MDT,0.708261
NOK,0.705882
MCD,0.700656
RIO,0.691367
BIDU,0.689941
NFG,0.689595
MO,0.688904
ETR,0.685447
LHX,0.684756
ABT,0.678188
TTWO,0.677843
ROL,0.677151
CI,0.675769
BABA,0.665053
NJR,0.660559
CB,0.655947
MDLZ,0.652489
BG,0.651227
AMT,0.650881
CCI,0.65076
UNH,0.649498
EXC,0.647079
GMAB,0.644385
CHKP,0.640511
HRB,0.637746
JKHY,0.632215
SHEL,0.624904
TCEHY,0.62223
LMT,0.622191
EQIX,0.619771
BP,0.619556
EXR,0.615623
PEG,0.599585
KO,0.596612
NTES,0.579329
EXEL,0.578983
AMGN,0.575872
PEP,0.575872
DTEGY,0.57372
JNJ,0.571724
PFE,0.568613
UTHR,0.567576
ABC,0.562175
CVS,0.562046
MCK,0.562046
SBAC,0.562046
SO,0.560663
NEE,0.54096
JD,0.537504
WMT,0.537504
TMUS,0.53543
VOD,0.516806
TM,0.510695
CHE,0.506394
DQ,0.506049
EQNR,0.500381
AEP,0.49879
CNC,0.492222
NVS,0.487394
ABBV,0.468026
PG,0.464569
ORA,0.460767
VRTX,0.458347
AVAV,0.452471
PSA,0.451936
PTCT,0.446249
ALNY,0.444175
NOC,0.437262
CORT,0.432423
DEO,0.411382
NBIX,0.393017
DG,0.392326
VZ,0.391289
AMN,0.389215
MRK,0.375388
ATVI,0.369858
BMRN,0.353612
BMY,0.349809
SGEN,0.346353
GILD,0.346007
NSRGY,0.343391
HSY,0.339094
LLY,0.331489
CTRA,0.325613
BTI,0.319709
ERIC,0.283422
NVO,0.210466
CSLLY,0.193277
RHHBY,0.178762
UL,0.177616
AZN,0.161955
REGN,0.113377
BIIB,0.083304
CAT,0
